AREACD,AREANM,Geography,Period,Observation,Measure,Unit,Observation Status
E07000224,Arun,Local Authority District,2023-05,99.22,Percentage,%,
E07000225,Chichester,Local Authority District,2023-05,98.93,Percentage,%,
E07000226,Crawley,Local Authority District,2023-05,100.0,Percentage,%,
E07000227,Horsham,Local Authority District,2023-05,99.75,Percentage,%,
E07000228,Mid Sussex,Local Authority District,2023-05,99.26,Percentage,%,
E07000229,Worthing,Local Authority District,2023-05,100.0,Percentage,%,
E06000022,Bath and North East Somerset,County or Unitary Authority,2023-05,99.52,Percentage,%,
E06000058,"Bournemouth, Christchurch and Poole",County or Unitary Authority,2023-05,100.0,Percentage,%,
E06000023,"Bristol, City of",County or Unitary Authority,2023-05,100.0,Percentage,%,
E06000052,Cornwall,County or Unitary Authority,2023-05,98.79,Percentage,%,
E06000059,Dorset,County or Unitary Authority,2023-05,99.51,Percentage,%,
E06000053,Isles of Scilly,County or Unitary Authority,2023-05,97.92,Percentage,%,
E06000024,North Somerset,County or Unitary Authority,2023-05,99.92,Percentage,%,
E06000026,Plymouth,County or Unitary Authority,2023-05,100.0,Percentage,%,
E06000025,South Gloucestershire,County or Unitary Authority,2023-05,99.95,Percentage,%,
E06000030,Swindon,County or Unitary Authority,2023-05,100.0,Percentage,%,
E06000027,Torbay,County or Unitary Authority,2023-05,100.0,Percentage,%,
E06000054,Wiltshire,County or Unitary Authority,2023-05,99.13,Percentage,%,
E07000040,East Devon,Local Authority District,2023-05,99.51,Percentage,%,
E07000041,Exeter,Local Authority District,2023-05,100.0,Percentage,%,
E07000042,Mid Devon,Local Authority District,2023-05,97.52,Percentage,%,
E07000043,North Devon,Local Authority District,2023-05,96.93,Percentage,%,
E07000044,South Hams,Local Authority District,2023-05,96.74,Percentage,%,
E07000045,Teignbridge,Local Authority District,2023-05,93.63,Percentage,%,
E07000046,Torridge,Local Authority District,2023-05,98.04,Percentage,%,
E07000047,West Devon,Local Authority District,2023-05,93.9,Percentage,%,
E07000078,Cheltenham,Local Authority District,2023-05,99.98,Percentage,%,
E07000079,Cotswold,Local Authority District,2023-05,99.17,Percentage,%,
E07000080,Forest of Dean,Local Authority District,2023-05,99.08,Percentage,%,
E07000081,Gloucester,Local Authority District,2023-05,100.0,Percentage,%,
E07000082,Stroud,Local Authority District,2023-05,99.11,Percentage,%,
E07000083,Tewkesbury,Local Authority District,2023-05,99.67,Percentage,%,
E07000187,Mendip,Local Authority District,2023-05,99.89,Percentage,%,
E07000188,Sedgemoor,Local Authority District,2023-05,99.31,Percentage,%,
E07000246,Somerset West and Taunton,Local Authority District,2023-05,92.59,Percentage,%,
E07000189,South Somerset,Local Authority District,2023-05,99.78,Percentage,%,
W06000001,Isle of Anglesey,Local Authority District,2023-05,99.68,Percentage,%,
W06000002,Gwynedd,Local Authority District,2023-05,81.91,Percentage,%,
W06000003,Conwy,Local Authority District,2023-05,89.05,Percentage,%,
W06000004,Denbighshire,Local Authority District,2023-05,95.27,Percentage,%,
W06000005,Flintshire,Local Authority District,2023-05,99.82,Percentage,%,
W06000006,Wrexham,Local Authority District,2023-05,90.9,Percentage,%,
W06000023,Powys,Local Authority District,2023-05,85.43,Percentage,%,
W06000008,Ceredigion,Local Authority District,2023-05,84.53,Percentage,%,
W06000009,Pembrokeshire,Local Authority District,2023-05,98.66,Percentage,%,
W06000010,Carmarthenshire,Local Authority District,2023-05,94.86,Percentage,%,
W06000011,Swansea,Local Authority District,2023-05,98.18,Percentage,%,
W06000012,Neath Port Talbot,Local Authority District,2023-05,97.64,Percentage,%,
W06000013,Bridgend,Local Authority District,2023-05,99.55,Percentage,%,
W06000014,Vale of Glamorgan,Local Authority District,2023-05,99.81,Percentage,%,
W06000015,Cardiff,Local Authority District,2023-05,100.0,Percentage,%,
W06000016,Rhondda Cynon Taf,Local Authority District,2023-05,99.29,Percentage,%,
W06000024,Merthyr Tydfil,Local Authority District,2023-05,99.25,Percentage,%,
W06000018,Caerphilly,Local Authority District,2023-05,98.72,Percentage,%,
W06000019,Blaenau Gwent,Local Authority District,2023-05,99.88,Percentage,%,
W06000020,Torfaen,Local Authority District,2023-05,98.62,Percentage,%,
W06000021,Monmouthshire,Local Authority District,2023-05,93.47,Percentage,%,
W06000022,Newport,Local Authority District,2023-05,100.0,Percentage,%,
S12000033,Aberdeen City,Local Authority District,2023-05,99.99,Percentage,%,
S12000034,Aberdeenshire,Local Authority District,2023-05,90.89,Percentage,%,
S12000041,Angus,Local Authority District,2023-05,79.82,Percentage,%,
S12000035,Argyll and Bute,Local Authority District,2023-05,82.99,Percentage,%,
S12000036,City of Edinburgh,Local Authority District,2023-05,99.98,Percentage,%,
S12000005,Clackmannanshire,Local Authority District,2023-05,97.21,Percentage,%,
S12000006,Dumfries and Galloway,Local Authority District,2023-05,92.61,Percentage,%,
S12000042,Dundee City,Local Authority District,2023-05,100.0,Percentage,%,
S12000008,East Ayrshire,Local Authority District,2023-05,90.99,Percentage,%,
S12000045,East Dunbartonshire,Local Authority District,2023-05,97.36,Percentage,%,
S12000010,East Lothian,Local Authority District,2023-05,92.99,Percentage,%,
S12000011,East Renfrewshire,Local Authority District,2023-05,99.15,Percentage,%,
S12000014,Falkirk,Local Authority District,2023-05,99.8,Percentage,%,
S12000047,Fife,Local Authority District,2023-05,99.91,Percentage,%,
S12000049,Glasgow City,Local Authority District,2023-05,100.0,Percentage,%,
S12000017,Highland,Local Authority District,2023-05,74.81,Percentage,%,
S12000018,Inverclyde,Local Authority District,2023-05,97.56,Percentage,%,
S12000019,Midlothian,Local Authority District,2023-05,98.11,Percentage,%,
S12000020,Moray,Local Authority District,2023-05,89.58,Percentage,%,
S12000013,Na h-Eileanan Siar,Local Authority District,2023-05,88.43,Percentage,%,
S12000021,North Ayrshire,Local Authority District,2023-05,91.67,Percentage,%,
S12000050,North Lanarkshire,Local Authority District,2023-05,99.72,Percentage,%,
S12000023,Orkney Islands,Local Authority District,2023-05,98.53,Percentage,%,
S12000048,Perth and Kinross,Local Authority District,2023-05,77.88,Percentage,%,
S12000038,Renfrewshire,Local Authority District,2023-05,99.05,Percentage,%,
S12000026,Scottish Borders ,Local Authority District,2023-05,86.63,Percentage,%,
S12000027,Shetland Islands,Local Authority District,2023-05,97.39,Percentage,%,
S12000028,South Ayrshire,Local Authority District,2023-05,86.81,Percentage,%,
